Category,Question
History,Who was the Emperor of France before Napoleon Bonaparte?
History,What was the main reason for the decline of the Indus Valley Civilization?
History,Who was the longest-reigning monarch of the Zhou Dynasty in ancient China?
Geography,What is the second-highest mountain peak in the world?
Geography,Which country has the most time zones including its overseas territories?
Geography,Name the river that flows through Baghdad.
Science and Nature,What element has the highest melting point?
Science and Nature,Who first calculated the circumference of the Earth in ancient times?
Science and Nature,What is the rarest naturally occurring element on Earth?
Literature and Arts,Who wrote the influential philosophy book 'Being and Time'?
Literature and Arts,Name the artist who created the sculpture 'David' before Michelangelo's famous version.
Literature and Arts,Which poet wrote the epic 'The Divine Comedy'?
Entertainment and Sports,Who composed the music for the 1977 film 'Star Wars'?
Entertainment and Sports,What is the oldest continuously running sporting event in the United States?
Entertainment and Sports,"Name the author of the novel 'Foundation', which inspired a famous TV series."
Technology and Innovations,Who is credited with inventing the first mechanical computer?
Technology and Innovations,What was the original name of the programming language 'Python'?
Technology and Innovations,What is the principle behind the functioning of a Quantum Computer?
World Politics,Who was the leader of the Soviet Union at the end of the Cold War?
World Politics,Which country became the first to give women the right to vote?